"npc_courier_knight"    "Рыцарь"
"npc_courier_bug"    "Жучок"
"npc_courier_alkash"    "Алкаш"
"npc_courier_pivo"    "Пивмастер"
"npc_courier_chicken"    "Кур"
"npc_courier_carpet"    "Торгаш"
"npc_courier_pudge"    "Мясник"
"npc_courier_hamster"    "Хомячок"
"npc_courier_koala"    "Коала"
"npc_courier_shop"    "Торговец"
"npc_courier_cat"    "Палико"
"npc_courier_drone"    "Дрон"
"npc_courier_donkeys"    "Ослиная братва"
"npc_courier_bh"    "Член Bloods"
"npc_courier_chest"    "Немимик"
"npc_courier_skeleton"    "Скелет"
"npc_courier_crocodile"    "Крокодил"
"npc_courier_sniffer"    "Нюхач"
"npc_courier_smart"    "Студент"
"npc_courier_roshanchik"    "Рошанчик"
"npc_courier_aghanim"    "Аганим"
"npc_courier_grandpa"    "Дедуля"
"npc_courier_gold_hamster"    "Хомячок"
"npc_courier_gold_cat"    "Учёная кошка"
"npc_courier_gold_wizard"    "Учёный"
"npc_courier_blue_zombie"    "Зомби ассистент"
"npc_courier_taksa"    "Такса"
"npc_courier_demon_book"    "Всезнайка"
"npc_courier_gold_dp"    "Учёная"
"npc_courier_black_wizzard"    "Тёмный сантехник"
"npc_courier_pudge_dog"    "Бульдог"
"npc_courier_bober"    "Бобёр"
"npc_courier_rabbit"    "Заяц"
"npc_courier_boar"    "Кабан"
"npc_courier_raccoon"    "Енот"
"npc_courier_parrot"    "Попугай"
"npc_courier_mushroom_1"    "Гриблинг"
"npc_courier_mushroom_2"    "Гриблинг"
"npc_courier_mushroom_3"    "Гриблинг"
"npc_courier_muhomor"    "Мухомор"
"npc_courier_plant"    "Наездница"
"npc_courier_octopus_1"    "Осьминог"
"npc_courier_octopus_2"    "Осьминог"
"npc_courier_purple"    "Любитель водорослей"
"npc_courier_sea_horse"    "Морской конёк"
"npc_courier_turtle"    "Черепаха"
"npc_courier_crab"    "Краб"
"npc_courier_axolotl"    "Аксолотль"
"npc_courier_navi"    "Любитель чая"
"npc_courier_cripple_dog"    "Ветеран"
"npc_courier_demon"    "Демон"
"npc_courier_evil_shop"    "Недружелюбный тип"
"npc_courier_doom"    "Обитатель Пустошей"
"npc_courier_bones"    "Костяной"
"npc_courier_babka_2"    "Старушка"
"npc_courier_blue_frog"    "Обитатель Пустошей"
"npc_courier_blue_pig"    "Свин"
