"npc_jungle_creep_melee"		        "Ящерица боец"
"npc_jungle_venomancer"		            "Чумная мамочка"
"npc_jungle_creep_range"		        "Ящерица стрелок"
"npc_jungle_pomidorko"		        "Помидорка"
"npc_jungle_icebear"		        "Ледяной колдун"
"npc_jungle_bufferbear"		        "Задумчивый клерик"
"npc_jungle_apple_melee"		        "Волк 80 кг"
"npc_jungle_apple_ranged"		        "Яблочный тролль"
"npc_jungle_axe"		            "Голый драчун"
"npc_jungle_sisipisi"		            "Поклонник драчуна"
"npc_jungle_shroom_furion"		            "Грибной фури-папочка"
"npc_jungle_shroom_melee"		            "Сильный опенок"
"npc_jungle_shroom_ranged"		            "Ловкая лисичка"
"npc_jungle_techies_1"		            "Бим"
"npc_jungle_techies_2"		            "Бам"
"npc_jungle_techies_3"		            "Бом"
"npc_jungle_ancdragon"		            "Зубастый дракон"
"npc_jungle_gnoll"		                "Крестьянин с копьем"
"npc_jungle_perdun"		                "Вонючий пердун"
"npc_jungle_perdun_flower"		        "Прелестный цветочек"
"npc_jungle_roshan"		                "Заблудившийся зверь"
"npc_jungle_miniroshan"		            "Зверёныш"
"npc_ocean_creep_range"                 "Подводный крип"
"npc_ocean_siege"                       "Неуловимая катапульта"
"npc_ocean_tusik_mini_a"                "Тусик пухлик"
"npc_ocean_tusik_mini_b_1"              "Тусик ссыкун"
"npc_ocean_tusik_mini_b_2"              "Тусик ссыкун"
"npc_ocean_tusik_papa"                  "Папа Тускар"
"npc_ocean_tadpole_ranged_1"            "Беззаботный шалопай"
"npc_ocean_tadpole_ranged_2"            "Беззаботный шалопай"
"npc_ocean_tadpole_ranged_3"            "Беззаботный шалопай"
"npc_ocean_tadpole_big_melee"           "Жабий босс"
"npc_ocean_tadpole_big_range_1"         "Шалопай PRIME"
"npc_ocean_tadpole_big_range_2"         "Шалопай PRIME"
"npc_ocean_spider_fire"                 "Огонь"
"npc_ocean_spider_ice"                  "Вода"
"npc_ocean_tidehunter"                  "Коварный арбуз"
"npc_ocean_seledka"                     "Мочила"
"npc_ocean_morph_big"                   "Силач"
"npc_ocean_morph_small"                 "Ловкач"
"npc_ocean_SLARK"                       "Осеменитель морей"
"npc_ocean_bombardier_melee_1"          "Гнида"
"npc_ocean_bombardier_melee_2"          "Гнида"
"npc_ocean_bombardier_ranged"           "Гнида с яиц"
"npc_dark_drow"                         "Злая охотница"
"npc_dark_ursa"                         "Медведь"
"npc_dark_titan_1"                      "Лесной титан"
"npc_dark_titan_2"                      "Лесной титан"
"npc_dark_pudge"                      "Кукла кукловода"
"npc_dark_pugna"                      "Кукловод"
"npc_dark_greevil"                      "Сташила"
"npc_dark_shaker_1"                     "Трясун"
"npc_dark_shaker_2"                     "Трясун"
"npc_dark_shaker_3"                     "Трясун"
"npc_dark_treant"                       "Древо"
"npc_dark_treant_summon"                "Пенёк"

